bvh_overlap_pair_count,object_a,object_b,bbox_extent_x,bbox_extent_y,bbox_extent_z,error
1913,HSNR,VC3,0.16386723518371582,3.1362497806549072,2.61763072013855,
1900,AFDL,AWAL,0.10021063685417175,0.9073808193206787,0.5494351387023926,
1892,VC3,VC1,0.13821054995059967,3.076958179473877,2.61763072013855,
1890,PVDL,PLML,0.26185178756713867,3.3828012943267822,0.5332891941070557,
1883,DB4,VA8,0.1285266876220703,2.5171399116516113,0.7074784636497498,
1882,VB2,PDER,0.026388708502054214,2.805335283279419,1.1141064167022705,
1878,DVC,RIAL,0.1408010870218277,0.10178303718566895,0.16522681713104248,
1877,DB4,VA9,0.1285405457019806,2.2623116970062256,0.4284435510635376,
1865,ASKL,IL2L,0.07540279626846313,0.757347583770752,0.1452593207359314,
1864,RIS,RICL,0.14080113172531128,0.1998612880706787,0.2688722312450409,
1862,AWBL,ADFL,0.10021103173494339,0.8770606517791748,0.37856346368789673,
1861,SIADL,SMDDL,0.29500699043273926,6.720758438110352,1.1530588865280151,
1860,SIBDL,SIADL,0.29500699043273926,6.712158679962158,1.156125545501709,
1859,VC3,VB5,0.1272646188735962,2.9253697395324707,0.7147881388664246,
1857,VA9,VA8,0.1285266876220703,1.7983894348144531,0.4284435510635376,
1852,ASIL,ASGL,0.10021192580461502,0.8672628402709961,0.34332209825515747,
1850,SIADR,SMDDR,0.32939210534095764,6.720758438110352,1.154740333557129,
1847,DVA,PVR,0.18314749002456665,6.764588832855225,1.2035269737243652,
1843,PVR,ASEL,0.1408011019229889,0.17462444305419922,0.5051957964897156,
1842,VC3,PVM,0.16386722028255463,2.8196780681610107,2.289562225341797,
1842,VB8,PVR,0.1257416009902954,3.255618095397949,0.3060808479785919,
1833,VC3,VC2,0.13629105687141418,3.0773181915283203,1.5031919479370117,
1830,SIBVL,HSNL,0.1408011019229889,3.54559326171875,1.459934949874878,
1829,HSNR,VB3,0.1266040951013565,3.0272560119628906,2.8255016803741455,
1829,AWBL,AWAL,0.10021063685417175,0.9046831130981445,0.5207388401031494,
1827,DB4,PVDL,0.3714604079723358,4.590697288513184,2.6009442806243896,
1826,PVNL,RMEV,0.1755896955728531,6.716479301452637,1.2021489143371582,
1826,AWAR,ASKR,0.10020671784877777,0.9110910892486572,0.6043446660041809,
1826,AFDL,ASIL,0.10021084547042847,0.9073808193206787,0.5494351387023926,
1825,VC2,PDER,0.1208886206150055,3.235356092453003,1.5031919479370117,
1822,DB5,PVR,0.18314078450202942,3.5080416202545166,1.2035269737243652,
1821,AVFL,PVR,0.17815276980400085,6.715963363647461,1.2035269737243652,
1815,AVL,AVFL,0.17815276980400085,6.767125606536865,3.8168818950653076,
1815,RIS,HSNL,0.14080113172531128,0.29245638847351074,0.2688722312450409,
1807,DB4,VC2,0.13629107177257538,1.7421135902404785,1.5031919479370117,
