object,verts,edges,polygons,boundary_edges,nonmanifold_edges,wire_edges,loose_verts,degenerate_faces,min_face_area,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,problem_score
AVHR,232,460,230,0,0,0,0,0,0.16826358437538147,-0.12339018285274506,-2.8246376514434814,-0.9701091051101685,0.044088371098041534,3.969261646270752,0.5373647809028625,0.1674785614013672,6.7938995361328125,1.5074739456176758,0
URXR,88,172,86,0,0,0,0,0,0.08833800256252289,-0.08429200202226639,-3.409834146499634,0.23402462899684906,-0.040541015565395355,-2.685392141342163,0.8581539988517761,0.04375098645687103,0.7244420051574707,0.6241293549537659,0
RIS,92,180,91,0,4,0,0,0,0.00018810716574080288,-0.13281941413879395,-2.770542621612549,0.26670101284980774,0.0493166446685791,-2.478086233139038,0.5355732440948486,0.18213605880737305,0.29245638847351074,0.2688722312450409,4
RIPL,140,276,138,0,0,0,0,0,0.021134817972779274,-0.12270085513591766,-3.408961057662964,0.37809619307518005,0.04370613768696785,-2.718970775604248,0.7206623554229736,0.16640698909759521,0.6899902820587158,0.3425661623477936,0
URBL,56,108,54,0,0,0,0,0,0.08901628851890564,0.019917063415050507,-3.40766978263855,0.37875887751579285,0.07861849665641785,-2.732086181640625,0.6849262118339539,0.05870143324136734,0.6755836009979248,0.306167334318161,0
ADAL,84,164,82,0,0,0,0,0,0.16727161407470703,-0.018913470208644867,-2.810307025909424,0.06744303554296494,0.0928635224699974,-2.329289674758911,0.6365646719932556,0.11177699267864227,0.4810173511505127,0.5691216588020325,0
RID,288,572,286,0,0,0,0,0,0.17695513367652893,-0.04601580277085304,-2.818688154220581,-0.9406387805938721,0.08473102003335953,3.9848811626434326,1.1480200290679932,0.13074682652950287,6.803569316864014,2.0886588096618652,0
URXL,88,172,86,0,0,0,0,0,0.10822083055973053,-0.002177216112613678,-3.4098339080810547,0.2340247482061386,0.04157376289367676,-2.685392141342163,0.8581538796424866,0.043750979006290436,0.7244417667388916,0.6241291165351868,0
RIVL,104,204,102,0,0,0,0,0,0.10357064753770828,-0.09260456264019012,-2.7650411128997803,0.35748714208602905,0.05330290645360947,-2.6343815326690674,0.5337945222854614,0.145907461643219,0.1306595802307129,0.17630738019943237,0
AVHL,232,460,230,0,0,0,0,0,0.18672558665275574,-0.13024528324604034,-2.8248848915100098,-0.9738609790802002,0.0484200194478035,3.9692599773406982,0.5373647809028625,0.17866531014442444,6.794144630432129,1.511225700378418,0
AVJL,236,468,234,0,0,0,0,0,0.13825298845767975,-0.12685629725456238,-2.824132204055786,-0.9609397649765015,0.040980953723192215,3.969008684158325,0.533555269241333,0.1678372472524643,6.793140888214111,1.4944950342178345,0
AINL,72,140,71,0,4,0,0,0,0.0816664770245552,-0.09148448705673218,-2.784417152404785,0.31092268228530884,0.048624396324157715,-2.590595006942749,0.5357071161270142,0.1401088833808899,0.19382214546203613,0.22478443384170532,4
SAAVL,152,300,150,0,0,0,0,0,0.09395569562911987,-0.1391410082578659,-3.2773499488830566,0.1300412267446518,0.14677263796329498,-2.394010543823242,0.7360137701034546,0.2859136462211609,0.8833394050598145,0.6059725284576416,0
RIAL,108,212,106,0,0,0,0,0,0.1505599170923233,-0.09148446470499039,-2.82167649269104,0.3689050078392029,0.04931662604212761,-2.653348684310913,0.5341318249702454,0.1408010870218277,0.16832780838012695,0.16522681713104248,0
AVEL,140,276,138,0,0,0,0,0,0.000264222762780264,-0.09148451685905457,-2.9265666007995605,-1.0762683153152466,0.034089431166648865,0.29648903012275696,0.8308433294296265,0.12557394802570343,3.223055601119995,1.907111644744873,0
SIBDL,212,420,211,0,4,0,0,0,0.00018042558804154396,-0.2472153902053833,-2.838582754135132,-2.0517287254333496,0.04931662231683731,3.9170212745666504,2.448248863220215,0.29653200507164,6.755603790283203,4.4999775886535645,4
RIBL,132,260,130,0,0,0,0,0,0.26059821248054504,-0.01891346275806427,-2.809847831726074,0.32528403401374817,0.060242533683776855,-2.5854341983795166,0.5341553092002869,0.07915599644184113,0.22441363334655762,0.2088712751865387,0
AIZL,92,180,90,0,0,0,0,0,0.14056801795959473,-0.021493569016456604,-2.772028684616089,0.25590968132019043,0.06404373794794083,-2.5570621490478516,0.5339753031730652,0.08553730696439743,0.2149665355682373,0.27806562185287476,0
RICL,104,204,103,0,4,0,0,0,0.1317782700061798,-0.09148447960615158,-2.79101300239563,0.2538268268108368,0.06363217532634735,-2.57068133354187,0.535698413848877,0.15511664748191833,0.22033166885375977,0.28187158703804016,4
AIYR,60,116,58,0,0,0,0,0,0.0001783519983291626,-0.1253696233034134,-2.769178628921509,0.2803138792514801,-0.023804813623428345,-2.4931349754333496,0.5339721441268921,0.10156480967998505,0.2760436534881592,0.253658264875412,0
AIMR,64,124,62,0,0,0,0,0,0.00015408266335725784,-0.14332999289035797,-2.8312594890594482,0.21222424507141113,-0.023804791271686554,-2.5037128925323486,0.5342303514480591,0.11952520161867142,0.3275465965270996,0.32200610637664795,0
AIBL,132,260,130,0,0,0,0,0,0.1275050938129425,-0.09148447215557098,-2.778963327407837,0.2651752829551697,0.04931661859154701,-2.641173839569092,0.5357885956764221,0.1408010870218277,0.13778948783874512,0.27061331272125244,0
RIGL,60,116,58,0,0,0,0,0,0.0001783519983291626,-0.018913453444838524,-2.776686429977417,0.14556218683719635,0.04931662231683731,-2.2840723991394043,0.5339721441268921,0.06823007762432098,0.4926140308380127,0.38840997219085693,0
SABD,168,332,166,0,0,0,0,0,0.00020089067402295768,-0.10215583443641663,-3.298440933227539,0.022028382867574692,0.08164229989051819,-2.1983211040496826,0.6531954407691956,0.18379813432693481,1.1001198291778564,0.6311670541763306,0
AVG,208,412,206,0,0,0,0,0,9.214261808665469e-05,-0.1249263659119606,-2.434778928756714,-0.9763401746749878,-0.005526075139641762,4.48325777053833,0.9157190322875977,0.11940029263496399,6.918036460876465,1.8920592069625854,0
RIFL,64,124,62,0,0,0,0,0,0.00017834757454693317,-0.018913455307483673,-2.775481700897217,0.16948853433132172,0.04931662604212761,-2.3549342155456543,0.5339722037315369,0.06823007762432098,0.4205474853515625,0.36448365449905396,0
RIGR,60,116,58,0,0,0,0,0,0.0001783524639904499,-0.09203486144542694,-2.774350166320801,0.18897663056850433,-0.02380478009581566,-2.373237371444702,0.5339720845222473,0.06823007762432098,0.40111279487609863,0.3449954390525818,0
RIFR,64,124,62,0,0,0,0,0,0.00017835223115980625,-0.09148447215557098,-2.7730553150177,0.22890542447566986,-0.02108391933143139,-2.4201297760009766,0.5360025763511658,0.07040055096149445,0.35292553901672363,0.3070971369743347,0
