bbox_intersection_volume,object_a,object_b,extent_x,extent_y,extent_z
4.751352722127191,AVAR,AVBL,0.18019074201583862,6.897035598754883,3.8231587409973145
4.750101095119573,CANR,PVDR,0.21699105203151703,6.515296936035156,3.359903573989868
4.747056143321571,DVA,DB1,0.12480428814888,6.409573554992676,5.934248447418213
4.728611221932952,ALA,SMDVL,0.30334287881851196,6.733942031860352,2.3148903846740723
4.712106049679916,DVA,AVAR,0.18121957778930664,6.80123233795166,3.8231587409973145
4.711339182329876,DVA,AVBL,0.18101274967193604,6.801231384277344,3.826904773712158
4.705877297692765,AVAR,SMDVL,0.18121957778930664,6.792242050170898,3.8231587409973145
4.705111112848012,AVBL,SMDVL,0.18101274967193604,6.792240619659424,3.826904773712158
4.70479964288759,DVA,SIBDR,0.33258336782455444,6.745173454284668,2.0972368717193604
4.70479964288759,Cuticle,SIBDR,0.33258336782455444,6.745173454284668,2.0972368717193604
4.70279892471063,AVDL,AVBL,0.17817649245262146,6.8979878425598145,3.8263401985168457
4.698240447668986,AVAR,AVDL,0.17817649245262146,6.897037029266357,3.8231582641601562
4.696193793052777,AVBR,AVBL,0.17893224954605103,6.892460823059082,3.8078784942626953
4.688146550900291,AVFL,AVAR,0.17815276980400085,6.894454002380371,3.8168818950653076
4.688145578169538,AVFL,AVBL,0.17815276980400085,6.8944525718688965,3.8168818950653076
4.681965817142615,AVFL,AVDL,0.17791789770126343,6.894454002380371,3.8168818950653076
4.674619665067464,AVAR,AVBR,0.1781102418899536,6.892460823059082,3.8078784942626953
4.67372982167061,AVFR,AVAR,0.1778031885623932,6.893360614776611,3.813230514526367
4.673728851777329,AVFR,AVBL,0.1778031885623932,6.893359184265137,3.813230514526367
4.671426841898093,AVL,AVBL,0.18038389086723328,6.767124176025391,3.826904773712158
4.670238558622886,AVKR,AVAR,0.1771145462989807,6.897037029266357,3.8231582641601562
4.666277140833724,AVFR,AVBR,0.1778031885623932,6.892460823059082,3.8076469898223877
