object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after
Sp_bag_A_2L,Sp_bag_A_2L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2L.stl,1216,1216,0,0.087902083992958,-0.457332968711853,-0.5327799320220947,0.141760304570198,-0.4262944757938385,-0.4372376203536987,0.0538582205772399,0.0310384929180145,0.095542311668396,True,True,True,1216
Sp_bag_A_1V,Sp_bag_A_1V,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1V.stl,6144,6144,0,0.0324064083397388,-0.493153303861618,-0.5482082962989807,0.1143520474433898,-0.4574464857578277,-0.47381392121315,0.0819456428289413,0.0357068181037902,0.0743943750858306,False,True,True,6144
Sp_neck_A_4L,Sp_neck_A_4L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_4L.stl,2432,2432,0,0.075061023235321,-0.5063068866729736,-0.490253210067749,0.1059386134147644,-0.4935299456119537,-0.4297097027301788,0.0308775901794433,0.0127769410610198,0.0605435073375701,False,True,True,2432
Sp_neck_A_2L,Sp_neck_A_2L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_2L.stl,2368,2368,0,0.0749994665384292,-0.5268487334251404,-0.4941740930080414,0.1059218421578407,-0.5134928226470947,-0.4339165389537811,0.0309223756194114,0.0133559107780456,0.0602575540542602,False,True,True,2368
Sp_neck_A_3R,Sp_neck_A_3R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_3R.stl,2432,2432,0,0.0415265187621116,-0.5136727690696716,-0.4924854636192322,0.0724085718393325,-0.5011950135231018,-0.4319352507591247,0.0308820530772209,0.0124777555465698,0.0605502128601074,False,True,True,2432
Sp_neck_A_4R,Sp_neck_A_4R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_4R.stl,2432,2432,0,0.0415310822427272,-0.5063068866729736,-0.490253210067749,0.0724086612462997,-0.4935299456119537,-0.4297097027301788,0.0308775790035724,0.0127769410610198,0.0605435073375701,False,True,True,2432
Sp_neck_A_3L,Sp_neck_A_3L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_3L.stl,2432,2432,0,0.0750611126422882,-0.5136727690696716,-0.4924854636192322,0.1059431806206703,-0.5011950135231018,-0.4319352507591247,0.0308820679783821,0.0124777555465698,0.0605502128601074,False,True,True,2432
Sp_neck_A_2R,Sp_neck_A_2R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_2R.stl,2368,2368,0,0.0415480956435203,-0.5267707109451294,-0.4941978454589844,0.0723501741886138,-0.5134883522987366,-0.433935672044754,0.0308020785450935,0.0132823586463928,0.0602621734142303,False,True,True,2368
Sp_neck_A_1L,Sp_neck_A_1L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_1L.stl,2304,2304,0,0.074999563395977,-0.5341029763221741,-0.4965425431728363,0.1059725359082222,-0.5202559232711792,-0.4361866116523742,0.0309729725122451,0.0138470530509948,0.060355931520462,False,True,True,2304
Sp_neck_A_1R,Sp_neck_A_1R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_1R.stl,2304,2304,0,0.0414974056184291,-0.5340985655784607,-0.4965616762638092,0.0724700763821601,-0.5201737880706787,-0.4362103641033172,0.030972670763731,0.0139247775077819,0.0603513121604919,False,True,True,2304
Sp_bag_A_4L,Sp_bag_A_4L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_4L.stl,1216,1216,0,0.0880506634712219,-0.3746297955513,-0.5136693120002747,0.1419109106063842,-0.3047070503234863,-0.4130938351154327,0.0538602471351623,0.0699227452278137,0.1005754768848419,True,True,True,1216
Gonadal_Sheath_A5D,Gonadal_Sheath_A5D,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A5D.stl,3040,3040,0,0.0101089105010032,-1.0924856662750244,-0.5310868620872498,0.1445956826210022,-0.5354836583137512,-0.422626793384552,0.1344867646694183,0.5570020079612732,0.1084600687026977,False,True,True,3040
