object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after
mc3DL,mc3DL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3DL.stl,1748,1748,0,-0.0020482055842876,-2.5924315452575684,0.3673693835735321,0.0924277603626251,-2.372208833694458,0.4533934891223907,0.094475969672203,0.2202227115631103,0.0860241055488586,False,True,True,1748
pm6VR,pm6VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6VR.stl,5024,5024,0,-0.143575981259346,-2.595450162887573,0.2531652450561523,-0.0256464816629886,-2.408458709716797,0.4235136806964874,0.1179295033216476,0.1869914531707763,0.170348435640335,False,True,True,5024
pm5VL,pm5VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm5VL.stl,5008,5008,0,-0.0176171399652957,-2.92514967918396,0.353983461856842,0.0703414678573608,-2.592489719390869,0.556800901889801,0.0879586040973663,0.3326599597930908,0.2028174400329589,False,True,True,5008
pm5D,pm5D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm5D.stl,5376,5376,0,-0.0847551003098487,-2.9186325073242188,0.4128136038780212,0.041909072548151,-2.5908052921295166,0.6142057776451111,0.1266641765832901,0.3278272151947021,0.2013921737670898,False,True,True,5376
mc2DL,mc2DL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2DL.stl,6336,6336,0,-0.0039244126528501,-2.919621467590332,0.4142108559608459,0.0630833953619003,-2.5915727615356445,0.586995005607605,0.0670078098773956,0.3280487060546875,0.172784149646759,False,True,True,6336
pm5VR,pm5VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm5VR.stl,4368,4368,0,-0.1127952113747596,-2.924971103668213,0.3541973829269409,-0.0248316396027803,-2.592658281326294,0.5561738610267639,0.0879635736346244,0.3323128223419189,0.201976478099823,False,True,True,4368
pm4VL,pm4VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm4VL.stl,3376,3376,0,-0.0160750299692153,-3.0495448112487797,0.4351933002471924,0.071332462131977,-2.919799327850342,0.5644072890281677,0.0874074921011924,0.1297454833984375,0.1292139887809753,False,True,True,3376
pm4D,pm4D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm4D.stl,3352,3352,0,-0.0848895236849784,-3.043001651763916,0.5312889814376831,0.0408937148749828,-2.916334867477417,0.6213424205780029,0.125783234834671,0.126666784286499,0.0900534391403198,True,True,True,3218
e3VL,e3VL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3VL.stl,2736,2736,0,-0.0099470149725675,-3.4478354454040527,0.5128408074378967,0.0489971898496151,-3.089730262756348,0.5838468670845032,0.0589442029595375,0.3581051826477051,0.0710060596466064,False,True,True,2736
e1VL,e1VL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e1VL.stl,2624,2624,0,-0.0098198493942618,-3.462606906890869,0.5154579877853394,0.0419267229735851,-3.143465518951416,0.5843720436096191,0.0517465732991695,0.3191413879394531,0.0689140558242797,False,True,True,2624
