name,input_path,output_path,status,used_meshfix,error,vertices_before,faces_before,watertight_before,winding_before,euler_before,volume_before,components_before,degenerate_removed,tiny_components_removed,vertices_after,faces_after,watertight_after,winding_after,euler_after,volume_after,components_after
pm3D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm3D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3D.stl,ok,False,,15696,5232,False,True,5232,0.000674235030873651,5232,0,0,2618,5232,True,True,2,0.000674235030873651,
mc1DL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1DL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1DL.stl,ok,False,,27936,9312,False,True,9312,0.00030337745318099617,9312,0,0,4658,9312,True,True,2,0.00030337745318099617,
pm3VR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm3VR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3VR.stl,ok,False,,18960,6320,False,True,6320,0.0008208415219042806,6320,0,0,3162,6320,True,True,2,0.0008208415219042806,
pm7VR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm7VR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7VR.stl,ok,False,,14304,4768,False,True,4768,0.001112915815894218,4768,0,0,2386,4768,True,True,2,0.001112915815894218,
mu_bod_VL22,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL22.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL22.stl,ok,False,,34656,11552,False,True,11552,0.0022663927625498135,11552,0,0,5778,11552,True,True,2,0.0022663927625498135,
mu_bod_VL20,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL20.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL20.stl,ok,False,,34944,11648,False,True,11648,0.00282519344976988,11648,0,0,5826,11648,True,True,2,0.00282519344976988,
mu_bod_VL18,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL18.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL18.stl,ok,False,,28800,9600,False,True,9600,0.002293864927127175,9600,0,0,4802,9600,True,True,2,0.002293864927127175,
mu_bod_VL16,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL16.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL16.stl,ok,False,,18576,6192,False,True,6192,0.001511482007714599,6192,0,0,3098,6192,True,True,2,0.001511482007714599,
mu_bod_VL14,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL14.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL14.stl,ok,False,,26736,8912,False,True,8912,0.00208588022497197,8912,0,0,4458,8912,True,True,2,0.00208588022497197,
mu_bod_VL12,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL12.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL12.stl,ok,False,,27120,9040,False,True,9040,0.0019591908096814794,9040,0,0,4522,9040,True,True,2,0.0019591908096814794,
