object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,clean_status,clean_error,cleaned_stl_path,before_vertices,before_edges_counted,before_faces,before_triangles,before_boundary_edges,before_nonmanifold_edges,before_degenerate_faces,before_loose_vertices,before_signed_volume,before_volume_abs,before_watertight_edge_test,after_vertices,after_edges_counted,after_faces,after_triangles,after_boundary_edges,after_nonmanifold_edges,after_degenerate_faces,after_loose_vertices,after_signed_volume,after_volume_abs,after_watertight_edge_test,delta_vertices,delta_faces,delta_boundary_edges,delta_nonmanifold_edges,delta_degenerate_faces
e2DR,e2DR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2DR.stl,4368,4368,0,-0.05063549801707268,-3.4614062309265137,0.5828412771224976,-0.01918032206594944,-3.2485251426696777,0.6202481389045715,0.03145517408847809,0.21288108825683594,0.037406861782073975,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/e2DR.stl,2186,6552,4368,4368,0,0,0,0,3.6427293178912635e-06,3.6427293178912635e-06,1,2186,6552,4368,4368,0,0,0,0,3.6427293178912635e-06,3.6427293178912635e-06,1,0,0,0,0,0
e2DL,e2DL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2DL.stl,4112,4112,0,-0.009822556748986244,-3.4614129066467285,0.5405835509300232,0.035553593188524246,-3.2515316009521484,0.6027805805206299,0.04537615180015564,0.20988130569458008,0.06219702959060669,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/e2DL.stl,2058,6168,4112,4112,0,0,0,0,3.8577584080452e-06,3.8577584080452e-06,1,2058,6168,4112,4112,0,0,0,0,3.8577584080452e-06,3.8577584080452e-06,1,0,0,0,0,0
e3D,e3D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e3D.stl,3040,3040,0,-0.040608324110507965,-3.445678234100342,0.5945448279380798,-0.002191668376326561,-3.0820705890655518,0.6174606084823608,0.038416653871536255,0.36360764503479004,0.022915780544281006,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/e3D.stl,1522,4560,3040,3040,0,0,0,0,3.5818195348961626e-06,3.5818195348961626e-06,1,1522,4560,3040,3040,0,0,0,0,3.5818195348961626e-06,3.5818195348961626e-06,1,0,0,0,0,0
e1D,e1D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e1D.stl,3392,3392,0,-0.036284189671278,-3.4603586196899414,0.5957270264625549,-0.006453225389122963,-3.140094041824341,0.6175223588943481,0.029830964282155037,0.3202645778656006,0.021795332431793213,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/e1D.stl,1698,5088,3392,3392,0,0,0,0,2.8265389820924593e-06,2.8265389820924593e-06,1,1698,5088,3392,3392,0,0,0,0,2.8265389820924593e-06,2.8265389820924593e-06,1,0,0,0,0,0
e2V,e2V,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2V.stl,4528,4528,0,-0.071652352809906,-3.463068962097168,0.5319565534591675,-0.002319173887372017,-3.254366397857666,0.5726233124732971,0.06933318078517914,0.20870256423950195,0.04066675901412964,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/e2V.stl,2266,6792,4528,4528,0,0,0,0,5.631556142008898e-06,5.631556142008898e-06,1,2266,6792,4528,4528,0,0,0,0,5.631556142008898e-06,5.631556142008898e-06,1,0,0,0,0,0
pm1,pm1,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm1.stl,10048,10048,0,-0.09085673838853836,-3.4333317279815674,0.47107261419296265,0.04913719743490219,-3.0279691219329834,0.6085832118988037,0.13999393582344055,0.405362606048584,0.13751059770584106,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/pm1.stl,5018,15072,10048,10048,0,0,0,0,5.9434642867397134e-05,5.9434642867397134e-05,1,5018,15072,10048,10048,0,0,0,0,5.9434642867397134e-05,5.9434642867397134e-05,1,0,0,0,0,0
pm2VR,pm2VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2VR.stl,4800,4800,0,-0.06995386630296707,-3.426251173019409,0.5321440100669861,-0.02645975537598133,-3.2218196392059326,0.5888601541519165,0.04349411278963089,0.20443153381347656,0.05671614408493042,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/pm2VR.stl,2402,7200,4800,4800,0,0,0,0,2.7663618170044347e-05,2.7663618170044347e-05,1,2402,7200,4800,4800,0,0,0,0,2.7663618170044347e-05,2.7663618170044347e-05,1,0,0,0,0,0
pm2VL,pm2VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2VL.stl,4608,4608,0,-0.016675183549523354,-3.4263370037078857,0.5327340960502625,0.026845980435609818,-3.2228782176971436,0.5904794931411743,0.04352116584777832,0.2034587860107422,0.057745397090911865,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/pm2VL.stl,2306,6912,4608,4608,0,0,0,0,2.559898983098291e-05,2.559898983098291e-05,1,2306,6912,4608,4608,0,0,0,0,2.559898983098291e-05,2.559898983098291e-05,1,0,0,0,0,0
pm2D,pm2D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2D.stl,4544,4544,0,-0.04000535234808922,-3.4236676692962646,0.5894641876220703,-0.0024872496724128723,-3.214796543121338,0.6161019206047058,0.037518102675676346,0.20887112617492676,0.026637732982635498,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/pm2D.stl,2274,6816,4544,4544,0,0,0,0,5.384756897208698e-05,5.384756897208698e-05,1,2274,6816,4544,4544,0,0,0,0,5.384756897208698e-05,5.384756897208698e-05,1,0,0,0,0,0
mc3DR,mc3DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc3DR.stl,6992,6992,0,-0.1356070637702942,-2.5924620628356934,0.3674130439758301,-0.04066108912229538,-2.372154951095581,0.45334815979003906,0.09494597464799881,0.2203071117401123,0.08593511581420898,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/mc3DR.stl,3498,10488,6992,6992,0,0,0,0,0.0004254047900653687,0.0004254047900653687,1,3498,10488,6992,6992,0,0,0,0,0.0004254047900653687,0.0004254047900653687,1,0,0,0,0,0
mc2V,mc2V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2V.stl,6368,6368,0,-0.03842288628220558,-2.9254865646362305,0.3529045283794403,-0.004236022010445595,-2.5942420959472656,0.48833179473876953,0.03418686240911484,0.33124446868896484,0.13542726635932922,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/mc2V.stl,3186,9552,6368,6368,0,0,0,0,0.0001940613669546557,0.0001940613669546557,1,3186,9552,6368,6368,0,0,0,0,0.0001940613669546557,0.0001940613669546557,1,0,0,0,0,0
mc2DR,mc2DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2DR.stl,6336,6336,0,-0.10563604533672333,-2.9196207523345947,0.41421085596084595,-0.03879382461309433,-2.591569662094116,0.5868954658508301,0.066842220723629,0.3280510902404785,0.17268460988998413,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/mc2DR.stl,3170,9504,6336,6336,0,0,0,0,0.00015452969031996128,0.00015452969031996128,1,3170,9504,6336,6336,0,0,0,0,0.00015452969031996128,0.00015452969031996128,1,0,0,0,0,0
mc1V,mc1V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1V.stl,9024,9024,0,-0.03813748434185982,-3.4252007007598877,0.43245306611061096,-0.004796181805431843,-2.92264461517334,0.5690494179725647,0.03334130346775055,0.5025560855865479,0.13659635186195374,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/mc1V.stl,4514,13536,9024,9024,0,0,0,0,0.00028029931105125834,0.00028029931105125834,1,4514,13536,9024,9024,0,0,0,0,0.00028029931105125834,0.00028029931105125834,1,0,0,0,0,0
mc1DR,mc1DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1DR.stl,9312,9312,0,-0.10626943409442902,-3.4227826595306396,0.5361886620521545,-0.03019273281097412,-2.9174368381500244,0.6036245226860046,0.0760767012834549,0.5053458213806152,0.0674358606338501,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/mc1DR.stl,4658,13968,9312,9312,0,0,0,0,0.00030572673344231457,0.00030572673344231457,1,4658,13968,9312,9312,0,0,0,0,0.00030572673344231457,0.00030572673344231457,1,0,0,0,0,0
pm8,pm8,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm8.stl,896,896,0,-0.09871543943881989,-2.3809638023376465,0.27982696890830994,0.055978912860155106,-2.3561582565307617,0.4341747760772705,0.1546943485736847,0.024805545806884766,0.15434780716896057,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/pm8.stl,448,1344,896,896,0,0,0,0,-0.00013698106320466733,0.00013698106320466733,1,448,1344,896,896,0,0,0,0,0.00013698106320466733,0.00013698106320466733,1,0,0,0,0,0
