
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AIYL category=NervousSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SIADL category=NervousSystem raw_tri=4494 kept_tri=4494 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AIAL category=NervousSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SIAVL category=NervousSystem raw_tri=6464 kept_tri=6464 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SIBVL category=NervousSystem raw_tri=5774 kept_tri=5774 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RIH category=NervousSystem raw_tri=4032 kept_tri=4032 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=HSNR category=NervousSystem raw_tri=5952 kept_tri=5952 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URAVR category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=M3R category=NervousSystem raw_tri=3776 kept_tri=3776 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=M2R category=NervousSystem raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=DVB category=NervousSystem raw_tri=2880 kept_tri=2880 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PDA category=NervousSystem raw_tri=3520 kept_tri=3520 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PDB category=NervousSystem raw_tri=4416 kept_tri=4416 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=HSNL category=NervousSystem raw_tri=5952 kept_tri=5952 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=M2L category=NervousSystem raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=M3L category=NervousSystem raw_tri=3776 kept_tri=3776 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMBVR category=NervousSystem raw_tri=7360 kept_tri=7360 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMFR category=NervousSystem raw_tri=3520 kept_tri=3520 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMGR category=NervousSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URADR category=NervousSystem raw_tri=2880 kept_tri=2880 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMER category=NervousSystem raw_tri=2268 kept_tri=2268 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMHR category=NervousSystem raw_tri=3520 kept_tri=3520 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMBDR category=NervousSystem raw_tri=5952 kept_tri=5952 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMDDR category=NervousSystem raw_tri=6080 kept_tri=6080 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMDDR category=NervousSystem raw_tri=1984 kept_tri=1984 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMDR category=NervousSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMDVR category=NervousSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMDVR category=NervousSystem raw_tri=6592 kept_tri=6592 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RIMR category=NervousSystem raw_tri=4672 kept_tri=4672 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMED category=NervousSystem raw_tri=3968 kept_tri=3968 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMEL category=NervousSystem raw_tri=2268 kept_tri=2268 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMEV category=NervousSystem raw_tri=8384 kept_tri=8384 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMDVL category=NervousSystem raw_tri=6592 kept_tri=6592 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMDVL category=NervousSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
