
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/manifest_wu_core_children.csv
[OPENWORM-VALIDATOR] objects  = 204
[OPENWORM-VALIDATOR][LOADED] 59 name=Sp_bag_P_1R category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 60 name=Sp_bag_P_1L category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 61 name=Sp_bag_P_2D category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 62 name=Sp_bag_P_2L category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 63 name=Sp_bag_P_2V category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 64 name=Sp_bag_P_3D category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 65 name=Sp_bag_P_3L category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 66 name=Sp_bag_P_3R category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 67 name=Sp_bag_P_4D category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 68 name=Sp_bag_P_4L category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 69 name=Sp_bag_P_4V category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 70 name=Sp_bag_A_4V category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 71 name=Sp_bag_A_4R category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 72 name=Sp_bag_A_4D category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 73 name=Sp_bag_A_3L category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 74 name=Sp_bag_A_3R category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 75 name=Sp_bag_A_3D category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 76 name=Sp_bag_A_2V category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 77 name=Sp_bag_A_2R category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 78 name=Sp_bag_A_2D category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 79 name=Sp_bag_A_1R category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 80 name=Sp_bag_A_1L category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 81 name=Sp_bag_A_1D category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
