78:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int8L category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
79:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int7L category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
80:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int6L category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
81:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int5L category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
82:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int4V category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
83:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int3V category=DigestiveSystem raw_tri=2064 kept_tri=2064 skipped_deg=0
84:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int2D category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
85:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int1VR category=DigestiveSystem raw_tri=2192 kept_tri=2192 skipped_deg=0
86:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int1VL category=DigestiveSystem raw_tri=2176 kept_tri=2176 skipped_deg=0
87:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int4D category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
88:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int6R category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
89:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int5R category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
90:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi3_V category=DigestiveSystem raw_tri=1888 kept_tri=1888 skipped_deg=0
91:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi3_D category=DigestiveSystem raw_tri=1888 kept_tri=1888 skipped_deg=0
92:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi2_DL category=DigestiveSystem raw_tri=1872 kept_tri=1872 skipped_deg=0
93:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi2_V category=DigestiveSystem raw_tri=2272 kept_tri=2272 skipped_deg=0
94:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi2_DR category=DigestiveSystem raw_tri=1872 kept_tri=1872 skipped_deg=0
95:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi1 category=DigestiveSystem raw_tri=8192 kept_tri=8192 skipped_deg=0
96:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int9R category=DigestiveSystem raw_tri=3008 kept_tri=3008 skipped_deg=0
97:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int8R category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
98:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int2V category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
99:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int1DR category=DigestiveSystem raw_tri=2176 kept_tri=2176 skipped_deg=0
100:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int7R category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
101:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int3D category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
102:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=rect_VR category=DigestiveSystem raw_tri=960 kept_tri=960 skipped_deg=0
103:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=rect_D category=DigestiveSystem raw_tri=1728 kept_tri=1728 skipped_deg=0
104:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=rect_VL category=DigestiveSystem raw_tri=960 kept_tri=960 skipped_deg=0
105:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I6 category=DigestiveSystem raw_tri=3264 kept_tri=3264 skipped_deg=0
106:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I5 category=DigestiveSystem raw_tri=12160 kept_tri=12160 skipped_deg=0
107:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I4 category=DigestiveSystem raw_tri=5440 kept_tri=5440 skipped_deg=0
108:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I3 category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
109:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I2R category=DigestiveSystem raw_tri=4032 kept_tri=4032 skipped_deg=0
110:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I1R category=DigestiveSystem raw_tri=3520 kept_tri=3520 skipped_deg=0
111:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I1L category=DigestiveSystem raw_tri=3520 kept_tri=3520 skipped_deg=0
112:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=I2L category=DigestiveSystem raw_tri=4032 kept_tri=4032 skipped_deg=0
113:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PHAR category=DigestiveSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
114:[OPENWORM-VALIDATOR][AGGREGATE_LOADED] 2 name=DigestiveSystem category=DigestiveSystem members=93
115:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_4R category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
116:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_1L category=ReproductiveSystem raw_tri=2304 kept_tri=2304 skipped_deg=0
117:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_1R category=ReproductiveSystem raw_tri=2304 kept_tri=2304 skipped_deg=0
118:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_2L category=ReproductiveSystem raw_tri=2368 kept_tri=2368 skipped_deg=0
119:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_3R category=ReproductiveSystem raw_tri=2432 kept_tri=2432 skipped_deg=0
