
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/openworm_object_stl_manifest_repaired.csv
[OPENWORM-VALIDATOR] objects  = 694
[OPENWORM-VALIDATOR][LOADED] 51 name=Phar_Gland_g1_L category=neuron-or-cell raw_tri=10176 kept_tri=10176 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 52 name=Phar_Gland_g2_VL category=neuron-or-cell raw_tri=1984 kept_tri=1984 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 53 name=pm4VR category=muscle/pharynx-muscle raw_tri=3392 kept_tri=3392 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 54 name=pm3VL category=muscle/pharynx-muscle raw_tri=6576 kept_tri=6576 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 55 name=pm3D category=muscle/pharynx-muscle raw_tri=5232 kept_tri=5232 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 56 name=mc1DL category=muscle/pharynx-muscle raw_tri=9312 kept_tri=9312 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 57 name=pm3VR category=muscle/pharynx-muscle raw_tri=6320 kept_tri=6320 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 58 name=pm7VR category=muscle/pharynx-muscle raw_tri=4768 kept_tri=4768 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 59 name=mu_bod_VL22 category=muscle/pharynx-muscle raw_tri=11552 kept_tri=11552 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 60 name=mu_bod_VL20 category=muscle/pharynx-muscle raw_tri=11648 kept_tri=11648 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 61 name=mu_bod_VL18 category=muscle/pharynx-muscle raw_tri=9600 kept_tri=9600 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 62 name=mu_bod_VL16 category=muscle/pharynx-muscle raw_tri=6192 kept_tri=6192 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 63 name=mu_bod_VL14 category=muscle/pharynx-muscle raw_tri=8912 kept_tri=8912 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 64 name=mu_bod_VL12 category=muscle/pharynx-muscle raw_tri=9040 kept_tri=9040 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 65 name=mu_bod_VL10 category=muscle/pharynx-muscle raw_tri=7488 kept_tri=7488 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 66 name=mu_bod_VL8 category=muscle/pharynx-muscle raw_tri=3872 kept_tri=3872 skipped_deg=0
