a_phys,a,a_copy,b_phys,b,b_copy,pair_key,depth_um,cases
ow_Sp_neck_A_2L_phys,Sp_neck_A_2L,180,ow_Sp_neck_A_3L_phys,Sp_neck_A_3L,183,Sp_neck_A_2L||Sp_neck_A_3L,0.119385,2
ow_vulF_phys,vulF,229,ow_uv2_Ant_phys,uv2_Ant,236,uv2_Ant||vulF,0.11843000000000001,5
ow_e3D_phys,e3D,9,ow_e2DL_phys,e2DL,8,e2DL||e3D,0.117161,1
ow_vm2R_Ant_phys,vm2R_Ant,209,ow_vulF_phys,vulF,229,vm2R_Ant||vulF,0.117103,1
ow_vulC_phys,vulC,223,ow_vm1R_Post_phys,vm1R_Post,225,vm1R_Post||vulC,0.1165,1
ow_pm8_phys,pm8,21,ow_mc3DR_phys,mc3DR,16,mc3DR||pm8,0.11598699999999999,2
ow_utse_phys,utse,243,ow_uv2_Ant_phys,uv2_Ant,236,utse||uv2_Ant,0.11566599999999999,3
ow_vm2R_Ant_phys,vm2R_Ant,209,ow_uv3_Ant_phys,uv3_Ant,235,uv3_Ant||vm2R_Ant,0.115286,10
ow_pm3VL_phys,pm3VL,40,ow_e1VL_phys,e1VL,36,e1VL||pm3VL,0.11490600000000001,3
ow_e2V_phys,e2V,11,ow_e3VL_phys,e3VL,35,e2V||e3VL,0.112775,2
ow_pm2VR_phys,pm2VR,13,ow_pm1_phys,pm1,12,pm1||pm2VR,0.11045999999999999,2
ow_uv1_Ant_phys,uv1_Ant,237,ow_vulF_phys,vulF,229,uv1_Ant||vulF,0.11043800000000001,12
ow_Sp_neck_A_3L_phys,Sp_neck_A_3L,183,ow_Sp_neck_A_4L_phys,Sp_neck_A_4L,179,Sp_neck_A_3L||Sp_neck_A_4L,0.109898,1
ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,ow_mc1V_phys,mc1V,19,Arcade_Cell_Ant||mc1V,0.109756,1
ow_e3VL_phys,e3VL,35,ow_e2V_phys,e2V,11,e2V||e3VL,0.109217,1
ow_pm5VL_phys,pm5VL,29,ow_pm6VL_phys,pm6VL,25,pm5VL||pm6VL,0.10798,1
ow_vulF_phys,vulF,229,ow_vulE_phys,vulE,228,vulE||vulF,0.105316,1
ow_pm1_phys,pm1,12,ow_e2V_phys,e2V,11,e2V||pm1,0.105072,1
ow_Sp_bag_A_2R_phys,Sp_bag_A_2R,171,ow_int3V_phys,int3V,276,Sp_bag_A_2R||int3V,0.10435,1
ow_vm1R_Post_phys,vm1R_Post,225,ow_vulC_phys,vulC,223,vm1R_Post||vulC,0.104145,1
ow_int7L_phys,int7L,272,ow_mu_bod_VL19_phys,mu_bod_VL19,57,int7L||mu_bod_VL19,0.10405299999999999,1
ow_vulD_phys,vulD,227,ow_vm1L_Ant_phys,vm1L_Ant,208,vm1L_Ant||vulD,0.102873,1
ow_pm4VR_phys,pm4VR,39,ow_pm5VR_phys,pm5VR,32,pm4VR||pm5VR,0.102441,1
ow_pm6VL_phys,pm6VL,25,ow_mc2DL_phys,mc2DL,31,mc2DL||pm6VL,0.102265,1
ow_ut1_Ant_phys,ut1_Ant,241,ow_um2L_Ant_phys,um2L_Ant,215,um2L_Ant||ut1_Ant,0.101607,1
ow_pm5VR_phys,pm5VR,32,ow_mc2V_phys,mc2V,17,mc2V||pm5VR,0.10159,1
ow_vpi3_D_phys,vpi3_D,284,ow_vpi2_DL_phys,vpi2_DL,285,vpi2_DL||vpi3_D,0.100845,1
