eventID,regionID,region_key,parentPDG,secondaryPDG,ekin_keV,x_um,y_um,z_um,run_name,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,region_label
1754,1,body,22,11,3.8032438990727866,-18.117829390624564,-378.106438809716,7.085471693527408,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
1792,1,body,22,11,1.646360648623499,-38.39560050729635,-164.62672301492157,21.51477994854929,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
1879,1,body,22,11,2.4420299530590115,11.968301113835423,-239.7960172128373,-53.26011884397767,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
1882,1,body,22,11,0.5283085720357933,-2.776868823710644,-372.04505366929993,64.10230076922181,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
4955,1,body,22,11,4.497778899485575,-13.11953502828201,-302.7101497133589,-58.299641320831306,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
5031,1,body,22,11,6.488614600452228,15.928496832911716,-257.17828809567254,-21.23964884621232,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
5035,3,bodywall,22,11,2.733723156287285,7.75441264303045,-323.5367317227112,30.713474222771165,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Body wall muscle
6705,1,body,22,11,2.1349949035244573,32.09777338481729,-269.4582034517296,-1.4658588207698104,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
6879,1,body,22,11,6.115540663250671,-9.341691017644443,326.9104185047874,32.791174869774125,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
9858,1,body,22,11,7.665350915329243,26.477093166466304,141.44366895718483,26.947136701888045,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
9885,1,body,22,11,3.168139427242265,-4.208070680934389,-255.50409670739887,62.824293764372094,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
9977,1,body,22,11,2.0362566463129848,-3.011981021646591,-417.3912804364963,-11.180506610146246,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
12439,1,body,22,11,2.6464323030283823,-20.877991146209222,-299.3727398518969,-14.063041639086403,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
12440,1,body,22,11,1.664629643416507,18.21912200021001,-441.2460604243446,9.108537020679035,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
14985,1,body,22,11,2.0218726452823894,-10.505198565985348,-467.97233808059366,-4.921388330406021,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
15009,1,body,22,11,2.278333961625942,-16.874729124998364,-123.67190371987743,28.733317196989105,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
15058,1,body,22,11,1.2138809555688723,18.43559918451507,-296.504289675933,56.68025584608095,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
15153,1,body,22,11,1.9727569966846925,14.687565548000002,-431.8770910395737,-1.9818101508074055,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
17457,1,body,22,11,2.3939883047090507,-23.19178527675037,-369.3671190398341,-34.71913651092274,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
17488,1,body,22,11,4.401389074822008,-1.544616823375308,-327.8360133258629,23.955298760748533,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
17621,1,body,22,11,0.7554470675196518,5.977211970131114,-421.9530175129388,49.389791270661455,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
19917,1,body,22,11,0.8732506070507826,-15.54877594757831,-442.4481962756099,23.936712492034516,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
