region_id,region_key,description,material_name,material_class,density_g_cm3,events,edep_keV,edep_per_event_keV,edep_J,relative_fraction_of_scored_edep,run_name,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,expected_total_dose_Gy,region_label,mass_kg,total_model_mass_kg_for_scaling,scaled_region_energy_J,scaled_region_energy_eV,scaled_region_dose_Gy_mass_normalized,scaled_energy_fraction_equivalent_Gy
4,digestive,Digestive/intestine compartment,G4_TISSUE_SOFT_ICRP,NIST_ICRP,1.0,100000,22.233001990333964,0.0002223300199033,3.562119629258857e-15,0.0130200249062403,caseC_diffuse_0p56Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.200000000000001,11.200000000000001,Digestive system,3.65058e-10,7.9617375235e-09,1.1610146335526814e-09,7246483370.900799,3.1803566379936377,0.14582427894989136
5,reproductive,Reproductive system compartment,G4_TESTIS_ICRP,NIST_ICRP,1.04,100000,43.347940924840046,0.0004334794092484,6.945105808179107e-15,0.0253852930306501,caseC_diffuse_0p56Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.200000000000001,11.200000000000001,Reproductive system,1.86288e-10,7.9617375235e-09,2.2636436487523037e-09,14128552375.032976,12.151312208796615,0.28431528194328115
6,excretory,Excretory system compartment,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,3.047123821438701,3.047123821438701e-05,4.882030587613876e-16,0.0017844476452068,caseC_diffuse_0p56Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.200000000000001,11.200000000000001,Excretory system,9.05235e-14,7.9617375235e-09,1.5912180228631901e-10,993160172.9146115,1757.7955148256422,0.019985813626316164
1,body,Whole-body/residual tissue envelope,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,1588.62418408298,0.0158862418408298,2.5452565479450654e-13,0.9303253988106864,caseC_diffuse_0p74Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.74 Gy/s × 20 s,0.74,20.0,14.8,14.8,Residual body envelope,7.22657e-09,7.9617375235e-09,1.0962369822428695e-07,684217307242.8352,15.169533848601334,13.76881590239816
2,nervous,OpenWorm-derived nervous system,G4_BRAIN_ICRP,NIST_ICRP,1.04,100000,15.096304997066827,0.0001509630499706,2.418694712603791e-15,0.0088406535086654,caseC_diffuse_0p74Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.74 Gy/s × 20 s,0.74,20.0,14.8,14.8,Nervous system,1.6148e-11,7.9617375235e-09,1.041727049028608e-09,6501948829.623289,64.51121185463265,0.13084167192824792
3,bodywall,Body wall muscle compartment,G4_MUSCLE_SKELETAL_ICRP,NIST_ICRP,1.05,100000,35.252017180543994,0.0003525201718054,5.647995822803415e-15,0.0206441820985508,caseC_diffuse_0p74Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.74 Gy/s × 20 s,0.74,20.0,14.8,14.8,Body wall muscle,1.67583e-10,7.9617375235e-09,2.4325806769887834e-09,15182974369.783398,14.515676870498698,0.30553389505855183
4,digestive,Digestive/intestine compartment,G4_TISSUE_SOFT_ICRP,NIST_ICRP,1.0,100000,22.233001990333964,0.0002223300199033,3.562119629258857e-15,0.0130200249062403,caseC_diffuse_0p74Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.74 Gy/s × 20 s,0.74,20.0,14.8,14.8,Digestive system,3.65058e-10,7.9617375235e-09,1.534197908623186e-09,9575710168.69034,4.202614128777307,0.19269636861235645
5,reproductive,Reproductive system compartment,G4_TESTIS_ICRP,NIST_ICRP,1.04,100000,43.347940924840046,0.0004334794092484,6.945105808179107e-15,0.0253852930306501,caseC_diffuse_0p74Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.74 Gy/s × 20 s,0.74,20.0,14.8,14.8,Reproductive system,1.86288e-10,7.9617375235e-09,2.991243392994115e-09,18669872781.29357,16.057091133052666,0.3757023368536215
6,excretory,Excretory system compartment,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,3.047123821438701,3.047123821438701e-05,4.882030587613876e-16,0.0017844476452068,caseC_diffuse_0p74Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.74 Gy/s × 20 s,0.74,20.0,14.8,14.8,Excretory system,9.05235e-14,7.9617375235e-09,2.102680958783501e-10,1312390228.4943078,2322.801216019598,0.026409825149060644
1,body,Whole-body/residual tissue envelope,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,2713.089345197398,0.0271308934519739,4.3468483548296313e-13,0.9106068256252796,caseD_focused_1p0Gy_s_15s_full,Focused extended pulse,Focused beam,Focused beam: 1 Gy/s × 15 s,1.0,15.0,15.0,15.0,Residual body envelope,7.22657e-09,7.9617375235e-09,1.0875018799104015e-07,678765285195.391,15.04865904447617,13.659102384379194
2,nervous,OpenWorm-derived nervous system,G4_BRAIN_ICRP,NIST_ICRP,1.04,100000,93.631097242226,0.0009363109724222,1.5001355621727632e-14,0.0314258416850448,caseD_focused_1p0Gy_s_15s_full,Focused extended pulse,Focused beam,Focused beam: 1 Gy/s × 15 s,1.0,15.0,15.0,15.0,Nervous system,1.6148e-11,7.9617375235e-09,3.753064544270875e-09,23424786410.103615,232.41667972943242,0.471387625275672
3,bodywall,Body wall muscle compartment,G4_MUSCLE_SKELETAL_ICRP,NIST_ICRP,1.05,100000,46.82160110249101,0.0004682160110249,7.501647525287972e-15,0.0157149522650645,caseD_focused_1p0Gy_s_15s_full,Focused extended pulse,Focused beam,Focused beam: 1 Gy/s × 15 s,1.0,15.0,15.0,15.0,Body wall muscle,1.67583e-10,7.9617375235e-09,1.87677487693163e-09,11713907425.088749,11.199076737685981,0.23572428397596748
4,digestive,Digestive/intestine compartment,G4_TISSUE_SOFT_ICRP,NIST_ICRP,1.0,100000,91.78911886995547,0.0009178911886995,1.4706238150889114e-14,0.0308076098964703,caseD_focused_1p0Gy_s_15s_full,Focused extended pulse,Focused beam,Focused beam: 1 Gy/s × 15 s,1.0,15.0,15.0,15.0,Digestive system,3.65058e-10,7.9617375235e-09,3.679231555831163e-09,22963957142.762596,10.078484941656292,0.4621141484470545
5,reproductive,Reproductive system compartment,G4_TESTIS_ICRP,NIST_ICRP,1.04,100000,32.82895975895893,0.0003282895975895,5.2597792244330265e-15,0.011018536815827,caseD_focused_1p0Gy_s_15s_full,Focused extended pulse,Focused beam,Focused beam: 1 Gy/s × 15 s,1.0,15.0,15.0,15.0,Reproductive system,1.86288e-10,7.9617375235e-09,1.3159004703095405e-09,8213204726.524183,7.063796220419675,0.165278052237405
6,excretory,Excretory system compartment,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,1.269933533221856,1.269933533221856e-05,2.0346578336611203e-16,0.0004262337123137,caseD_focused_1p0Gy_s_15s_full,Focused extended pulse,Focused beam,Focused beam: 1 Gy/s × 15 s,1.0,15.0,15.0,15.0,Excretory system,9.05235e-14,7.9617375235e-09,5.090341411663034e-11,317714121.12998235,562.3226467892905,0.0063935056847055
