object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after,compartment,geometry_role,role_note,validator_category
NSML,NSML,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/NSML.stl,3136,3136,0,-0.0636487752199173,-2.944422721862793,0.406827449798584,0.0364927425980567,-2.596827507019043,0.5370016694068909,0.100141517817974,0.34759521484375,0.1301742196083068,False,True,True,3136,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
IL1DR,IL1DR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/IL1DR.stl,756,756,0,-0.0949923172593116,-3.410819292068481,0.4852352738380432,-0.0248230285942554,-2.724388599395752,0.6138290762901306,0.0701692849397659,0.6864306926727295,0.1285938024520874,False,True,True,756,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
AVL,AVL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/AVL.stl,8384,8384,0,-0.1338308900594711,-2.7548861503601074,-0.6700575351715088,0.0493166297674179,3.961076021194458,0.5334691405296326,0.183147519826889,6.7159624099731445,1.203526735305786,True,True,True,8384,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
IL1DL,IL1DL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/IL1DL.stl,756,756,0,-0.0178952012211084,-3.410819292068481,0.4852352738380432,0.0522740855813026,-2.724388599395752,0.6138290762901306,0.0701692849397659,0.6864306926727295,0.1285938024520874,False,True,True,756,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
IL1VL,IL1VL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/IL1VL.stl,2752,2752,0,-0.0040663611143827,-3.492910146713257,0.3872928023338318,0.047274425625801,-2.733279228210449,0.5682153105735779,0.0513407886028289,0.7596309185028076,0.1809225082397461,False,True,True,2752,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
IL1L,IL1L,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/IL1L.stl,3648,3648,0,0.005290787667036,-3.4939277172088623,0.4163268506526947,0.0806974843144416,-2.7231812477111816,0.5915651917457581,0.0754067003726959,0.7707464694976807,0.1752383410930633,False,True,True,3648,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
OLQDL,OLQDL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/OLQDL.stl,3136,3136,0,-0.0048507191240787,-3.4917027950286865,0.4853610694408417,0.0447500497102737,-2.740976095199585,0.61180180311203,0.0496007688343524,0.7507266998291016,0.1264407336711883,True,True,True,3136,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
OLQVL,OLQVL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/OLQVL.stl,2624,2624,0,-0.0040663518011569,-3.492910623550415,0.3983180522918701,0.0554307252168655,-2.733130693435669,0.5682154297828674,0.0594970770180225,0.7597799301147461,0.1698973774909973,False,True,True,2624,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
GLRVR,GLRVR,support_sheath_socket,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/GLRVR.stl,2240,2240,0,-0.0900139734148979,-3.4929099082946777,0.3759796321392059,-0.0386518910527229,-2.6883533000946045,0.568215012550354,0.0513620823621749,0.8045566082000732,0.192235380411148,False,True,True,2240,support_sheath_socket,scoring_only,support/sheath/socket/glial-like scoring atlas,support_sheath_socket
GLRDR,GLRDR,support_sheath_socket,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/GLRDR.stl,2496,2496,0,-0.0961783900856971,-3.49162220954895,0.4804713726043701,-0.0380293168127536,-2.695462942123413,0.6118018627166748,0.0581490732729435,0.7961592674255371,0.1313304901123047,False,True,True,2496,support_sheath_socket,scoring_only,support/sheath/socket/glial-like scoring atlas,support_sheath_socket
GLRR,GLRR,support_sheath_socket,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/GLRR.stl,2752,2752,0,-0.1234157383441925,-3.4939277172088623,0.4206238090991974,-0.0480090230703353,-2.6960480213165283,0.591564953327179,0.0754067152738571,0.797879695892334,0.1709411442279815,False,True,True,2752,support_sheath_socket,scoring_only,support/sheath/socket/glial-like scoring atlas,support_sheath_socket
GLRL,GLRL,support_sheath_socket,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/GLRL.stl,2752,2752,0,0.0052907858043909,-3.4939277172088623,0.4206238687038421,0.0806975215673446,-2.6960480213165283,0.5915650129318237,0.0754067376255989,0.797879695892334,0.1709411442279815,False,True,True,2752,support_sheath_socket,scoring_only,support/sheath/socket/glial-like scoring atlas,support_sheath_socket
GLRDL,GLRDL,support_sheath_socket,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/GLRDL.stl,2496,2496,0,-0.0046889372169971,-3.49162220954895,0.4804713129997253,0.0534601509571075,-2.695462942123413,0.61180180311203,0.0581490881741046,0.7961592674255371,0.1313304901123047,False,True,True,2496,support_sheath_socket,scoring_only,support/sheath/socket/glial-like scoring atlas,support_sheath_socket
GLRVL,GLRVL,support_sheath_socket,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/GLRVL.stl,2240,2240,0,-0.0040663592517375,-3.492910146713257,0.3759797513484955,0.0472957342863082,-2.688353538513184,0.5682151317596436,0.0513620935380458,0.8045566082000732,0.192235380411148,False,True,True,2240,support_sheath_socket,scoring_only,support/sheath/socket/glial-like scoring atlas,support_sheath_socket
Head_Mesodermal_Cell,Head_Mesodermal_Cell,support_sheath_socket,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Head_Mesodermal_Cell.stl,4864,4864,0,-0.1181544214487075,-2.3931360244750977,-0.0897875949740409,0.0759865790605545,-2.013127088546753,0.4838371276855469,0.194141000509262,0.3800089359283447,0.5736247301101685,False,True,True,4864,support_sheath_socket,scoring_only,support/sheath/socket/glial-like scoring atlas,support_sheath_socket
SIAVR,SIAVR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/SIAVR.stl,6464,6464,0,-0.2493109554052353,-2.744334936141968,-0.6361827850341797,-0.0608440525829792,3.971773862838745,0.4516990780830383,0.1884669065475464,6.716108798980713,1.0878818035125732,True,True,True,6464,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
SDQR,SDQR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/SDQR.stl,2624,2624,0,-0.1509016752243042,-2.7480781078338623,-0.1196352392435073,0.0478587597608566,-1.2937543392181396,0.5116723775863647,0.1987604349851608,1.4543237686157229,0.6313076019287109,False,True,True,2624,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
SDQL,SDQL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/SDQL.stl,4544,4544,0,-0.085623413324356,-2.745877504348755,-0.2375220209360122,0.2378372699022293,2.240940809249878,0.5110651254653931,0.3234606981277466,4.986818313598633,0.7485871315002441,False,True,True,4544,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
BDUR,BDUR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/BDUR.stl,2752,2752,0,-0.2081348598003387,-2.780474901199341,-0.0213365219533443,-0.0274121016263961,-1.849316954612732,0.5295355319976807,0.1807227581739425,0.9311579465866088,0.5508720278739929,False,True,True,2752,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
