object_name,compartment,samples,frac_inside_body,outside_samples,watertight,faces,stl_path
Sp_bag_P_2V,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_2V.stl
Sp_bag_P_3D,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_3D.stl
Sp_bag_P_3L,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_3L.stl
Sp_bag_P_3R,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_3R.stl
Sp_bag_P_4D,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_4D.stl
Sp_bag_P_4L,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_4L.stl
Sp_bag_P_4V,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_4V.stl
Sp_bag_A_4V,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_4V.stl
Sp_bag_A_4R,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_4R.stl
Sp_bag_A_4D,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_4D.stl
Sp_bag_A_3L,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3L.stl
Sp_bag_A_3R,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3R.stl
Sp_bag_A_3D,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3D.stl
Sp_bag_A_2V,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2V.stl
Sp_bag_A_2R,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2R.stl
Sp_bag_A_2D,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2D.stl
Sp_bag_A_1R,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1R.stl
Sp_bag_A_1L,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1L.stl
Sp_bag_A_1D,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1D.stl
Sp_bag_A_3V,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3V.stl
Sp_bag_A_2L,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2L.stl
Sp_bag_A_1V,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1V.stl
Sp_neck_A_4L,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_4L.stl
Sp_neck_A_2L,reproductive_rectal_system,2368,1.0,0,True,2368,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_2L.stl
Sp_neck_A_3R,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_3R.stl
Sp_neck_A_4R,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_4R.stl
Sp_neck_A_3L,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_3L.stl
Sp_neck_A_2R,reproductive_rectal_system,2368,1.0,0,True,2368,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_2R.stl
Sp_neck_A_1L,reproductive_rectal_system,2304,1.0,0,True,2304,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_1L.stl
Sp_neck_A_1R,reproductive_rectal_system,2304,1.0,0,True,2304,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_A_1R.stl
Sp_bag_A_4L,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_4L.stl
Gonadal_Sheath_A5D,reproductive_rectal_system,3040,1.0,0,True,3040,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A5D.stl
Gonadal_Sheath_A4D,reproductive_rectal_system,2016,1.0,0,True,2016,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A4D.stl
Gonadal_Sheath_P5D,reproductive_rectal_system,2800,1.0,0,True,2800,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P5D.stl
Gonadal_Sheath_P4D,reproductive_rectal_system,2016,1.0,0,True,2016,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P4D.stl
Gonadal_Sheath_P3L,reproductive_rectal_system,2208,1.0,0,True,2208,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P3L.stl
Gonadal_Sheath_P2L,reproductive_rectal_system,2912,1.0,0,True,2912,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P2L.stl
Gonadal_Sheath_P1L,reproductive_rectal_system,5000,1.0,0,True,6496,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P1L.stl
Gonadal_Sheath_A3L,reproductive_rectal_system,1760,1.0,0,True,1760,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A3L.stl
Gonadal_Sheath_A2L,reproductive_rectal_system,2208,1.0,0,True,2208,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A2L.stl
Gonadal_Sheath_A1L,reproductive_rectal_system,5000,1.0,0,True,6256,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A1L.stl
Rachis_P,reproductive_rectal_system,3570,1.0,0,True,3570,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Rachis_P.stl
Rachis_A,reproductive_rectal_system,3214,1.0,0,True,3214,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Rachis_A.stl
Gonadal_Sheath_P4V,reproductive_rectal_system,1504,1.0,0,True,1504,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P4V.stl
Gonadal_Sheath_P3R,reproductive_rectal_system,2208,1.0,0,True,2208,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P3R.stl
